PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;mil m3;1997;REGIÃO NORTE;AMAZONAS;50891;48632;50528;50588;44179;51965;54155;50355;28450;24764;23857;51362;529726
TERRA;mil m3;1997;REGIÃO NORDESTE;MARANHÃO;;;;;;;;;;;;;0
TERRA;mil m3;1997;REGIÃO NORDESTE;CEARÁ;83;75;78;71;74;78;76;80;78;79;77;86;935
TERRA;mil m3;1997;REGIÃO NORDESTE;RIO GRANDE DO NORTE;21785;20477;22023;20161;20805;22497;21750;26727;26827;25959;25214;28685;282910
TERRA;mil m3;1997;REGIÃO NORDESTE;ALAGOAS;51357;51221;53119;47751;53198;47261;48761;49100;42047;42295;48009;48087;582206
TERRA;mil m3;1997;REGIÃO NORDESTE;SERGIPE;6775;5122;5873;5756;5709;6238;6210;5449;5344;5310;5359;6853;69998
TERRA;mil m3;1997;REGIÃO NORDESTE;BAHIA;137599,3333;136995,6667;148192;147592;138203;149381;152182;148850;154934;168604;164478;158216;1805227
TERRA;mil m3;1997;REGIÃO SUDESTE;ESPÍRITO SANTO;21432;19701;21894;19349;22592;23115;22886;22002;21852;21984;21178;21626;259611
TERRA;mil m3;1997;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;1997;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;1997;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;1998;REGIÃO NORTE;AMAZONAS;54481;47954;51672;48353;48206;46822;53569;51753;50871;52032;53092;59143;617948
TERRA;mil m3;1998;REGIÃO NORDESTE;MARANHÃO;;;;;;;;;;;;;0
TERRA;mil m3;1998;REGIÃO NORDESTE;CEARÁ;91;77;77;77;85;79;81;86;78;88;91;103;1013
TERRA;mil m3;1998;REGIÃO NORDESTE;RIO GRANDE DO NORTE;27480;24169;25431;26407;25924;29181;29311;29557;25530;28977;27372;27771;327110
TERRA;mil m3;1998;REGIÃO NORDESTE;ALAGOAS;45026;45997;46735;42870;46386;50990;45939;40772;47594;46103;39325;43517;541254
TERRA;mil m3;1998;REGIÃO NORDESTE;SERGIPE;6526;5063;5056;5085;5220;5167;5233;5340;5350;5741;5322;5593;64696
TERRA;mil m3;1998;REGIÃO NORDESTE;BAHIA;158585;152093;160069;163877;176633;145808;152531;151682;151621;172466;163760;160796;1909921
TERRA;mil m3;1998;REGIÃO SUDESTE;ESPÍRITO SANTO;22260;20930;22717;24163;24097;23487;25437;24473;24439;24968;27110;24195;288276
TERRA;mil m3;1998;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;1998;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;1998;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;1999;REGIÃO NORTE;AMAZONAS;57821;56788;57334;53890;57501;58574;61304;62620;62905;66200;70485;68732;734154
TERRA;mil m3;1999;REGIÃO NORDESTE;MARANHÃO;;;;;;;;;;;;;0
