Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1998,01/1998,Alagoas,Alagoas,PARU,4-ALS-39-AL,Mar,Não Informado,0,3100,0,13175,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,3-C-184-BA,Mar,Não Informado,"76,4",0,"20,2896",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,3-C-189-BA,Mar,Não Informado,"74,8",0,"32,728",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-137-BA,Mar,Não Informado,"359,4",0,"302,9928",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-170-BA,Mar,Não Informado,"334,2",0,"281,3505",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-173D-BA,Mar,Não Informado,"71,6",0,"11,3623",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-174D-BA,Mar,Não Informado,"128,8",0,"135,2656",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-181-BA,Mar,Não Informado,"257,5",0,"175,8441",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-185-BA,Mar,Não Informado,"154,5",0,"129,8542",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-187-BA,Mar,Não Informado,"69,6",0,"41,2889",0,"23,3",,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-197D-BA,Mar,Não Informado,"446,1",0,"840,2194",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-201D-BA,Mar,Não Informado,"56,3",0,"59,5165",0,23,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-202D-BA,Mar,Não Informado,"333,5",0,"316,5194",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-203D-BA,Mar,Não Informado,51,0,"59,5165",0,"11,9",,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-206D-BA,Mar,Não Informado,"38,4",0,"36,5212",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-211D-BA,Mar,Não Informado,"463,2",0,"389,5629",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,CANDEIAS,7-C-212D-BA,Mar,Não Informado,"283,7",0,"270,2589",0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,3-DJ-130-BA,Mar,Não Informado,"87,2",0,"0,6714",0,"598,9",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,3-DJ-227-BA,Mar,Não Informado,"38,9",0,"0,3179",0,"487,6",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,3-DJX-2-BA,Mar,Não Informado,"20,9",0,"0,1732",0,56,,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,6-DJC-2-BA,Mar,Não Informado,"8,6",0,"0,0705",0,"90,2",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-106-BA,Mar,Não Informado,"204,4",0,"1,577",0,"896,7",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-133-BA,Mar,Não Informado,"285,4",0,"2,8859",0,"601,1",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-137-BA,Mar,Não Informado,"71,8",0,"0,5556",0,"264,6",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-138-BA,Mar,Não Informado,"189,2",0,"1,4601",0,"1773,8",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-140-BA,Mar,Não Informado,"6,5",0,"0,0582",0,"64,2",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-143-BA,Mar,Não Informado,0,0,0,0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-145-BA,Mar,Não Informado,0,0,0,0,0,,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-149-BA,Mar,Não Informado,"160,5",0,"1,1391",0,"722,3",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-150-BA,Mar,Não Informado,"26,4",0,"0,1862",0,"173,1",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-154-BA,Mar,Não Informado,"230,5",0,"1,6355",0,"1037,8",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-156-BA,Mar,Não Informado,"302,7",0,"2,3365",0,"1212,5",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-168-BA,Mar,Não Informado,"45,8",0,"11,2579",0,"70,9",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-169-BA,Mar,Não Informado,"52,9",0,"0,409",0,"285,6",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-172-BA,Mar,Não Informado,"45,4",0,"0,3504",0,"199,4",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-173-BA,Mar,Não Informado,"113,4",0,"0,8761",0,"356,7",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-174-BA,Mar,Não Informado,"98,1",0,"0,7595",0,"394,4",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-189-BA,Mar,Não Informado,"94,6",0,"0,6714",0,"147,5",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-191-BA,Mar,Não Informado,29,0,"0,2042",0,"129,9",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-193-BA,Mar,Não Informado,"49,5",0,"0,3504",0,293,,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-194-BA,Mar,Não Informado,29,0,"0,2042",0,"103,1",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-203-BA,Mar,Não Informado,"264,9",0,"1,8691",0,"684,2",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-204-BA,Mar,Não Informado,"20,6",0,"0,1462",0,"173,3",,,,,,,,
1998,01/1998,Bahia,Recôncavo,DOM JOÃO MAR,7-DJ-207-BA,Mar,Não Informado,"94,6",0,"0,6714",0,"295,9",,,,,,,,
