Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1967,01/1967,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,"185,7",0,"2,7867",0,"49,1",,,,,,,,
1967,01/1967,Alagoas,Alagoas,COQUEIRO SECO,3-CS-9-AL,Terra,Não Informado,"116,1",0,"1,742",0,"51,7",,,,,,,,
1967,01/1967,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-2-AL,Terra,Não Informado,"306,8",0,"4,602",0,0,,,,,,,,
1967,01/1967,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-3-AL,Terra,Não Informado,"49,9",0,"0,741",0,0,,,,,,,,
1967,01/1967,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-6-AL,Terra,Não Informado,"168,9",0,"2,5335",0,0,,,,,,,,
1967,01/1967,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-9-AL,Terra,Não Informado,"313,6",0,"4,704",0,0,,,,,,,,
1967,01/1967,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-10-AL,Terra,Não Informado,251,0,"3,765",0,0,,,,,,,,
1967,01/1967,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-15-AL,Terra,Não Informado,"491,5",0,"7,3725",0,0,,,,,,,,
1967,01/1967,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-18-AL,Terra,Não Informado,"175,1",0,"2,6265",0,0,,,,,,,,
1967,01/1967,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-26-AL,Terra,Não Informado,"326,3",0,"4,8945",0,0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARATU,3-A-14-BA,Terra,Não Informado,0,0,0,"146,751",0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARATU,3-A-9-BA,Terra,Não Informado,0,0,0,"814,089",0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARATU,7-A-3-BA,Terra,Não Informado,0,0,0,"146,751",0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARATU,7-A-4-BA,Terra,Não Informado,0,0,0,"1139,656",0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARATU,7-A-5-BA,Terra,Não Informado,0,0,"146,751",0,0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARATU,7-A-6-BA,Terra,Não Informado,0,0,0,"146,751",0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARATU,7-A-7-BA,Terra,Não Informado,0,0,0,"146,751",0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARATU,7-A-8-BA,Terra,Não Informado,0,0,0,"18,887",0,,,,,,,,
1967,01/1967,Bahia,Recôncavo,ARAÇÁS,1-AR-2-BA,Terra,Não Informado,"102,1",0,"18,991",0,0,,,,,,,,
