Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1983,01/1983,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-17-AL,Terra,Não Informado,"858,1",0,"437,839",0,"16,1",,,,,,,,
1983,01/1983,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-19-AL,Terra,Não Informado,"338,9",0,"275,161",0,0,,,,,,,,
1983,01/1983,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,372,0,"5,538",0,"967,8",,,,,,,,
1983,01/1983,Alagoas,Alagoas,COQUEIRO SECO,3-CS-9-AL,Terra,Não Informado,31,0,"0,462",0,"65,1",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FAZENDA PAU BRASIL,1-FPB-3-AL,Terra,Não Informado,308,0,102,0,"48,7",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,3-FTD-6-AL,Terra,Não Informado,368,0,"206,3",0,"118,4",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,3-FTD-7-AL,Terra,Não Informado,"225,3",0,"90,133",0,"18,4",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,3-FTD-9-AL,Terra,Não Informado,"53,8",0,"5,027",0,0,,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,3-FU-4-AL,Terra,Não Informado,"181,3",0,"31,678",0,"1,7",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,3-FU-5-AL,Terra,Não Informado,"294,7",0,"72,396",0,0,,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,3-FU-7-AL,Terra,Não Informado,"334,3",0,"93,732",0,"2,8",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,3-FU-81-AL,Terra,Não Informado,"282,5",0,"95,021",0,"36,7",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,7-FU-11D-AL,Terra,Não Informado,"253,1",0,"16,553",0,"44,4",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,7-FU-13-AL,Terra,Não Informado,840,0,0,0,"5,6",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,7-FU-15-AL,Terra,Não Informado,"140,2",0,"50,04",0,0,,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,7-FU-16D-AL,Terra,Não Informado,"60,5",0,"31,708",0,"81,7",,,,,,,,
1983,01/1983,Alagoas,Alagoas,FURADO,7-FU-20-AL,Terra,Não Informado,0,0,0,1506,0,,,,,,,,
