Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1991,01/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,3-CSMC-8-AL,Terra,Não Informado,"40,3",0,"170,6003",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,5-CSMC-9-AL,Terra,Não Informado,0,0,0,198,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-17-AL,Terra,Não Informado,"46,5",0,"143,6837",0,"55,8",,,,,,,,
1991,01/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-20-AL,Terra,Não Informado,0,0,0,228,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-25-AL,Terra,Não Informado,0,0,0,255,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-32-AL,Terra,Não Informado,"99,2",0,"363,716",0,"176,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,"86,8",0,"2,0808",0,"781,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,COQUEIRO SECO,7-CS-14D-AL,Terra,Não Informado,"68,5",0,"4,6447",0,"102,9",,,,,,,,
1991,01/1991,Alagoas,Alagoas,COQUEIRO SECO,7-CS-16-AL,Terra,Não Informado,"83,7",0,"3,2745",0,"9,3",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FAZENDA PAU BRASIL,1-FPB-3-AL,Terra,Não Informado,372,0,120,0,4,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,1-FTD-1-AL,Terra,Não Informado,"28,2",0,"1,2744",0,"44,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,3-FTD-3-AL,Terra,Não Informado,"47,3",0,"5,5701",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,3-FTD-7-AL,Terra,Não Informado,"205,1",0,"291,5106",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,3-FTD-8-AL,Terra,Não Informado,0,0,89,0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,3-FTD-9-AL,Terra,Não Informado,"152,9",0,"17,5865",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,3-FU-4-AL,Terra,Não Informado,"122,8",0,"272,4888",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,3-FU-5-AL,Terra,Não Informado,"119,4",0,"40,0977",0,"35,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-100-AL,Terra,Não Informado,"217,7",0,"46,2066",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-103-AL,Terra,Não Informado,"214,2",0,"19,6972",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-104-AL,Terra,Não Informado,"525,7",0,"516,6491",0,166,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-108-AL,Terra,Não Informado,44,0,"5,9248",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-113D-AL,Terra,Não Informado,"251,1",0,"111,8836",0,"167,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-115-AL,Terra,Não Informado,"223,5",0,"83,4478",0,"39,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-118-AL,Terra,Não Informado,"417,6",0,"151,14",0,172,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-11D-AL,Terra,Não Informado,"250,9",0,"433,1427",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-122-AL,Terra,Não Informado,"1147,7",0,"76,113",0,"50,8",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-123-AL,Terra,Não Informado,"367,1",0,"229,6091",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-127-AL,Terra,Não Informado,"0,1",0,"0,0342",0,"33,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-15-AL,Terra,Não Informado,"97,5",0,"53,0108",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-22-AL,Terra,Não Informado,"42,7",0,"5,9344",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-24-AL,Terra,Não Informado,"144,8",0,"33,2536",0,"44,4",,,,,,,,
